session_id,window_id,timestamp_trigger,timestamp_order_sent,timestamp_confirmed,side,strike_price,hl_price_at_trigger,gap_value,gap_threshold_used,atr_regime,cvd_60s,cvd_threshold_used,cvd_threshold_pct,velocity,entry_odds,odds_in_sweet_spot,spread_pct,expected_odds,mispricing_delta,slippage_delta,slippage_threshold_used,blockchain_latency_ms,shares_bought,cost_usdc,result,resolution_price,payout_usdc,pnl_usdc,claim_method,claim_timestamp,mode,bot_version
SES-1776793770,btc-updown-5m-1776793800,2026-04-21T17:51:00.126675+00:00,2026-04-21T17:51:00.126739+00:00,2026-04-21T17:51:00.126748+00:00,UP,0.01,75659.0,-73.86792508000508,45.0,NORM,-3240.5679299866774,27097.79858350031,0.0,0.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,,,,,,HEDGE_UP,2.3
SES-1776793770,btc-updown-5m-1776794100,2026-04-21T17:56:00.293246+00:00,2026-04-21T17:56:00.293285+00:00,2026-04-21T17:56:00.293292+00:00,UP,0.3,75499.0,-54.978000000002794,10.0,HIGH,-5044442.606519986,270136.7938660001,0.0,-0.5,0.3,True,0.0,0.3,0.0,0.0,0.0,0,2.0,0.6,PAPER_FILL,,,,,,HEDGE_UP,2.3
SES-1776793770,btc-updown-5m-1776794100,2026-04-21T17:56:01.501181+00:00,2026-04-21T17:56:01.501204+00:00,2026-04-21T17:56:01.501212+00:00,DOWN,0.29,75498.0,-55.978000000002794,10.0,HIGH,-5023771.733639986,269465.7196910001,0.0,-0.5,0.29,True,0.0,0.29,0.0,0.0,0.0,0,2.0,0.58,PAPER_FILL,,,,,,HEDGE_DOWN,2.3
SES-1776793770,btc-updown-5m-1776794400,2026-04-21T18:01:00.244726+00:00,2026-04-21T18:01:00.244816+00:00,2026-04-21T18:01:00.244827+00:00,UP,0.01,75531.5,-54.44800000000396,10.0,HIGH,-2531202.8459199676,186142.6230599997,0.0,-0.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,,,,,,HEDGE_UP,2.3
SES-1776793770,btc-updown-5m-1776794400,2026-04-21T18:01:23.128594+00:00,2026-04-21T18:01:23.128624+00:00,2026-04-21T18:01:23.128632+00:00,DOWN,0.01,75552.5,-33.44800000000396,10.0,HIGH,-456221.41084996494,194165.07858349977,0.0,0.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,,,,,,HEDGE_DOWN,2.3
SES-1776794683,btc-updown-5m-1776794700,2026-04-21T18:06:00.358802+00:00,2026-04-21T18:06:00.358842+00:00,2026-04-21T18:06:00.358848+00:00,UP,0.01,75547.5,-94.4715778700047,45.0,NORM,1528001.6822699981,94190.2201865001,0.0,0.0,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,,,,,,HEDGE_UP,2.3
SES-1776794683,btc-updown-5m-1776794700,2026-04-21T18:06:08.187949+00:00,2026-04-21T18:06:08.187994+00:00,2026-04-21T18:06:08.188000+00:00,DOWN,0.01,75564.5,-42.58999999999651,45.0,NORM,1570904.1095599972,97997.30620100006,0.0,17.5,0.01,True,0.0,0.01,0.0,0.0,0.0,0,2.0,0.02,PAPER_FILL,,,,,,HEDGE_DOWN,2.3
